               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10909,            0.027245,            0.036483,                   0,                   0,                   0,                   0,            0.089856,            0.029057,            0.030661,              0.0002,              0.0002,              0.0982
                   1,             0.10109,            0.027354,            0.038165,                   0,                   0,                   0,                   0,            0.088602,            0.029196,            0.030238,          0.00049752,          0.00049752,            0.095498
                   2,             0.11006,            0.025438,            0.037599,                   0,                   0,                   0,                   0,            0.087447,            0.029424,            0.029857,          0.00079208,          0.00079208,            0.092792
                   3,            0.095872,             0.02593,            0.037179,                   0,                   0,                   0,                   0,            0.086479,            0.029541,            0.029456,           0.0010837,           0.0010837,            0.090084
                   4,             0.10181,            0.027878,             0.03419,                   0,                   0,                   0,                   0,            0.084522,            0.029623,            0.028821,           0.0013723,           0.0013723,            0.087372
                   5,            0.099318,            0.025095,            0.035151,                   0,                   0,                   0,                   0,            0.082939,            0.029616,            0.028257,           0.0016579,           0.0016579,            0.084658
                   6,            0.083532,             0.02484,            0.030825,                   0,                   0,                   0,                   0,             0.08277,            0.028952,            0.027103,           0.0019406,           0.0019406,            0.081941
                   7,             0.09143,            0.024149,            0.027363,                   0,                   0,                   0,                   0,            0.083559,            0.027542,            0.026063,           0.0022203,           0.0022203,             0.07922
                   8,            0.086653,            0.025269,             0.02883,                   0,                   0,                   0,                   0,            0.083559,            0.027542,            0.026063,            0.002497,            0.002497,            0.076497
                   9,            0.085705,            0.024129,            0.029786,                   0,                   0,                   0,                   0,            0.083939,            0.026228,            0.024994,           0.0027708,           0.0027708,            0.073771
                  10,            0.085107,            0.023888,            0.026471,                   0,                   0,                   0,                   0,            0.083939,            0.026228,            0.024994,           0.0030416,           0.0030416,            0.071042
                  11,            0.084694,            0.024348,             0.02445,                   0,                   0,                   0,                   0,            0.084787,            0.025078,            0.024268,           0.0033094,           0.0033094,            0.068309
                  12,            0.085003,            0.025662,            0.022828,                   0,                   0,                   0,                   0,            0.084787,            0.025078,            0.024268,           0.0035743,           0.0035743,            0.065574
                  13,            0.084578,            0.025429,            0.023524,                   0,                   0,                   0,                   0,            0.083513,            0.024504,            0.023268,           0.0038362,           0.0038362,            0.062836
                  14,            0.078961,             0.02394,            0.025196,                   0,                   0,                   0,                   0,            0.083513,            0.024504,            0.023268,           0.0040951,           0.0040951,            0.060095
                  15,            0.079448,            0.025426,            0.026129,                   0,                   0,                   0,                   0,            0.083513,            0.024504,            0.023268,            0.004351,            0.004351,            0.057351
                  16,            0.081185,            0.022317,            0.021048,                   0,                   0,                   0,                   0,            0.082866,            0.023933,            0.022489,            0.004604,            0.004604,            0.054604
                  17,            0.081639,            0.023399,            0.021591,                   0,                   0,                   0,                   0,            0.082866,            0.023933,            0.022489,            0.004854,            0.004854,            0.051854
                  18,             0.09594,            0.024701,            0.025513,                   0,                   0,                   0,                   0,            0.082866,            0.023933,            0.022489,            0.005101,            0.005101,            0.049101
                  19,            0.080677,            0.022266,            0.021944,                   0,                   0,                   0,                   0,            0.081185,            0.023276,            0.020873,           0.0053451,           0.0053451,            0.046345
                  20,            0.094143,            0.022856,            0.023124,                   0,                   0,                   0,                   0,            0.081185,            0.023276,            0.020873,           0.0055862,           0.0055862,            0.043586
                  21,            0.091359,            0.021664,            0.023209,                   0,                   0,                   0,                   0,            0.081185,            0.023276,            0.020873,           0.0058243,           0.0058243,            0.040824
                  22,            0.081858,            0.021021,            0.020183,                   0,                   0,                   0,                   0,            0.081185,            0.023276,            0.020873,           0.0060595,           0.0060595,            0.038059
                  23,            0.090712,            0.024253,             0.02494,                   0,                   0,                   0,                   0,             0.07777,            0.023371,            0.019142,           0.0062917,           0.0062917,            0.035292
                  24,            0.094827,            0.022289,            0.021255,                   0,                   0,                   0,                   0,             0.07777,            0.023371,            0.019142,           0.0065209,           0.0065209,            0.032521
                  25,             0.10903,             0.02321,            0.026304,                   0,                   0,                   0,                   0,             0.07777,            0.023371,            0.019142,           0.0067471,           0.0067471,            0.029747
                  26,            0.092112,            0.020679,            0.024474,                   0,                   0,                   0,                   0,             0.07777,            0.023371,            0.019142,           0.0069704,           0.0069704,             0.02697
                  27,            0.070153,            0.020448,             0.01948,                   0,                   0,                   0,                   0,             0.07777,            0.023371,            0.019142,           0.0071907,           0.0071907,            0.024191
                  28,             0.08923,            0.019262,            0.021282,                   0,                   0,                   0,                   0,            0.073218,            0.024024,            0.016679,            0.007408,            0.007408,            0.021408
                  29,            0.089856,            0.019478,            0.018121,                   0,                   0,                   0,                   0,            0.073218,            0.024024,            0.016679,           0.0076224,           0.0076224,            0.018622
                  30,            0.077779,            0.019263,            0.017465,                   0,                   0,                   0,                   0,            0.073218,            0.024024,            0.016679,           0.0078338,           0.0078338,            0.015834
                  31,            0.087759,            0.022112,            0.021605,                   0,                   0,                   0,                   0,            0.073218,            0.024024,            0.016679,           0.0080422,           0.0080422,            0.013042
                  32,            0.078136,            0.021116,            0.014221,                   0,                   0,                   0,                   0,            0.073218,            0.024024,            0.016679,           0.0082477,           0.0082477,            0.010248
                  33,            0.087486,            0.022714,            0.020171,                   0,                   0,                   0,                   0,            0.071003,            0.023224,            0.013998,           0.0083665,           0.0083665,           0.0083665
                  34,            0.073091,            0.018179,            0.014357,            0.014924,             0.33333,           0.0066594,          0.00066594,            0.071003,            0.023224,            0.013998,           0.0083665,           0.0083665,           0.0083665
                  35,            0.073755,            0.016049,            0.012285,            0.014924,             0.33333,           0.0066594,          0.00066594,            0.071003,            0.023224,            0.013998,            0.008317,            0.008317,            0.008317
                  36,            0.082418,            0.018288,            0.017748,                   0,                   0,                   0,                   0,            0.071003,            0.023224,            0.013998,           0.0082675,           0.0082675,           0.0082675
                  37,            0.077976,            0.018461,            0.016639,                   0,                   0,                   0,                   0,            0.071003,            0.023224,            0.013998,            0.008218,            0.008218,            0.008218
                  38,            0.078368,            0.019611,            0.016877,            0.014924,             0.33333,           0.0066594,          0.00066594,            0.071003,            0.023224,            0.013998,           0.0081685,           0.0081685,           0.0081685
